epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7736,1.51614,6.54409,0.72102,1.50521,1.53919,0.00129,0.29545,0.00078,0.00021,0,0,0,0,3.95319,11.8411,8.6439,inf,55.3289,0.000657407,0.000657407,0.000657407
2,50.7663,1.48854,4.83615,0.53785,1.07846,1.46658,0.7,0.31818,0.34381,0.159,0.03745,0.15909,0.01263,0.0017,2.21623,7.00099,0.26824,20.6707,2.65601,0.00131534,0.00131534,0.00131534
3,76.2622,1.49814,4.68878,0.48007,0.98911,1.43137,0.71075,0.68182,0.74323,0.45309,0.2551,0.36364,0.17354,0.03801,1.51406,4.98927,0.22683,5.08278,2.01277,0.00196446,0.00196446,0.00196446
4,104.404,1.55938,4.59784,0.48399,1.01892,1.47101,0.68666,0.86364,0.73747,0.42325,0.61803,0.75,0.55773,0.1349,1.36127,3.93449,0.19949,3.24873,1.68036,0.0019604,0.0019604,0.0019604
5,133.563,1.4582,4.41702,0.4619,0.93485,1.40596,0.9449,0.90909,0.88391,0.58156,0.76491,0.65909,0.56849,0.2012,1.34875,3.95043,0.20021,1.14411,1.55911,0.0019472,0.0019472,0.0019472
6,160.035,1.39021,3.80378,0.43176,0.8338,1.36823,0.90956,0.68577,0.84922,0.53835,0.67172,0.51171,0.48766,0.24521,1.38995,3.74859,0.19763,1.1706,1.58403,0.001934,0.001934,0.001934
7,184.51,1.40214,3.85712,0.44225,0.88548,1.40858,0.93437,0.93182,0.8971,0.60537,0.78624,0.79545,0.72169,0.31509,1.16519,3.28225,0.20025,1.456,1.42165,0.0019208,0.0019208,0.0019208
8,209.941,1.36152,3.45948,0.43663,0.8485,1.34783,0.95412,0.94531,0.95036,0.6413,0.8166,0.8097,0.73319,0.38577,1.12324,2.72782,0.19664,0.6794,1.41836,0.0019076,0.0019076,0.0019076
9,234.854,1.34682,3.56654,0.43034,0.75541,1.34906,0.94599,0.95455,0.95027,0.68406,0.85804,0.82434,0.81118,0.34132,1.09586,2.94303,0.20327,0.59791,1.34489,0.0018944,0.0018944,0.0018944
10,260.19,1.27751,3.35941,0.40989,0.75747,1.29048,0.95282,0.95455,0.92164,0.63212,0.72593,0.72727,0.55219,0.26058,1.13388,3.14939,0.17948,0.60068,1.39679,0.0018812,0.0018812,0.0018812
11,285.811,1.32199,3.21555,0.41725,0.74927,1.34049,0.96349,0.95455,0.95042,0.59423,0.79429,0.75,0.68631,0.27867,1.34089,3.06688,0.19376,0.90587,1.49268,0.001868,0.001868,0.001868
12,312.203,1.26215,3.2278,0.41969,0.7434,1.28228,0.94626,0.95455,0.94237,0.62575,0.84016,0.84091,0.80165,0.3815,1.15446,2.5556,0.1776,0.6666,1.43146,0.0018548,0.0018548,0.0018548
13,338.558,1.29006,3.22369,0.41556,0.75766,1.305,0.95316,0.95455,0.93105,0.61645,0.7774,0.75,0.67043,0.35164,1.22615,2.93838,0.17173,0.63084,1.41504,0.0018416,0.0018416,0.0018416
14,364.919,1.227,3.06129,0.39387,0.68703,1.25239,0.94947,0.95455,0.93929,0.64362,0.80832,0.77273,0.76216,0.35201,1.15488,2.87366,0.1934,0.71273,1.39095,0.0018284,0.0018284,0.0018284
15,391.557,1.24098,3.03722,0.40955,0.71401,1.29889,0.95267,0.95455,0.92077,0.65325,0.86185,0.86364,0.82019,0.46547,1.06466,2.34902,0.1725,0.5671,1.31391,0.0018152,0.0018152,0.0018152
16,418.053,1.20014,2.86451,0.39326,0.67657,1.24949,0.9503,0.95455,0.94279,0.63015,0.79175,0.79545,0.71449,0.33382,1.11204,3.07171,0.18194,0.60637,1.38494,0.001802,0.001802,0.001802
17,444.458,1.16334,2.85952,0.38172,0.65826,1.21434,0.95133,0.95455,0.95111,0.67097,0.90747,0.90909,0.90248,0.49658,1.08554,2.2402,0.1907,0.61808,1.32315,0.0017888,0.0017888,0.0017888
18,471.156,1.15358,2.92897,0.38727,0.65987,1.22024,0.95235,0.95455,0.92362,0.63976,0.86117,0.86364,0.81117,0.44678,1.17876,2.62118,0.17591,0.69646,1.37742,0.0017756,0.0017756,0.0017756
19,497.936,1.20385,2.76619,0.39308,0.66163,1.25264,0.95253,0.95455,0.94828,0.68722,0.88614,0.88636,0.87798,0.44053,1.06867,2.51524,0.17469,0.53479,1.34441,0.0017624,0.0017624,0.0017624
20,524.426,1.1555,2.87131,0.37496,0.65811,1.21746,0.95262,0.95455,0.93104,0.66791,0.88458,0.88636,0.8337,0.43358,1.03496,2.42622,0.17446,0.55544,1.2979,0.0017492,0.0017492,0.0017492
21,550.917,1.12035,2.8245,0.39009,0.65893,1.19991,0.95361,0.95455,0.95389,0.66175,0.84002,0.84091,0.81351,0.48636,1.08351,2.30952,0.17086,0.56838,1.30328,0.001736,0.001736,0.001736
22,577.403,1.15411,2.78817,0.38884,0.63698,1.21843,0.95291,0.95455,0.93394,0.65365,0.88544,0.88636,0.85667,0.49256,1.10749,2.20979,0.171,0.53219,1.34527,0.0017228,0.0017228,0.0017228
23,603.955,1.15913,2.52821,0.37484,0.64119,1.21997,0.94934,0.95455,0.95362,0.68872,0.85978,0.8362,0.8323,0.46067,1.03511,2.34188,0.17161,0.65588,1.25856,0.0017096,0.0017096,0.0017096
24,630.418,1.14818,2.69621,0.37992,0.65208,1.20394,0.93227,0.95455,0.95592,0.69771,0.82185,0.84091,0.82696,0.54192,0.9937,2.0118,0.17266,0.49241,1.24891,0.0016964,0.0016964,0.0016964
25,657.087,1.07698,2.50066,0.34815,0.61221,1.17351,0.94972,0.95455,0.95215,0.65691,0.88177,0.88636,0.88359,0.5007,1.13493,2.02271,0.15927,0.60578,1.36513,0.0016832,0.0016832,0.0016832
26,683.937,1.07801,2.59526,0.33489,0.61345,1.17921,0.95295,0.95455,0.94721,0.70808,0.90757,0.90909,0.89665,0.52018,0.98976,1.89237,0.15959,0.50632,1.25435,0.00167,0.00167,0.00167
27,711.222,1.09583,2.35602,0.33254,0.64314,1.18935,0.9529,0.95455,0.94006,0.66249,0.90831,0.90909,0.88672,0.46117,1.09581,2.16839,0.16182,0.60118,1.32671,0.0016568,0.0016568,0.0016568
28,738.312,1.08213,2.40192,0.33416,0.60287,1.18126,0.91049,0.95455,0.95202,0.66685,0.893,0.84091,0.88059,0.49042,1.12444,2.23958,0.16713,0.53686,1.31834,0.0016436,0.0016436,0.0016436
29,764.831,1.08546,2.38746,0.33187,0.61388,1.15859,0.95282,0.95455,0.94427,0.69758,0.88473,0.88636,0.8749,0.5798,0.95688,1.99533,0.19452,0.50014,1.21171,0.0016304,0.0016304,0.0016304
30,791.501,1.08079,2.53225,0.34947,0.6055,1.17175,0.95254,0.95455,0.94641,0.715,0.86307,0.86364,0.85409,0.54197,0.97647,2.12889,0.15955,0.50965,1.20865,0.0016172,0.0016172,0.0016172
31,818.224,1.03236,2.34189,0.33621,0.58258,1.16135,0.95225,0.95455,0.96096,0.714,0.92958,0.93182,0.93663,0.58257,0.99365,1.97897,0.15781,0.47827,1.2412,0.001604,0.001604,0.001604
32,845.02,1.00803,2.20885,0.31466,0.55975,1.13377,0.95359,0.95455,0.96129,0.70653,0.90818,0.90909,0.90053,0.5501,1.04283,1.98044,0.15776,0.49716,1.29921,0.0015908,0.0015908,0.0015908
33,871.504,1.00009,2.24135,0.31922,0.55837,1.13525,0.95004,0.95455,0.94823,0.68664,0.92742,0.93182,0.92343,0.56095,1.0563,1.97926,0.16424,0.52767,1.33874,0.0015776,0.0015776,0.0015776
34,898.058,1.07833,2.34273,0.33066,0.59494,1.1898,0.95307,0.95455,0.94088,0.70443,0.90769,0.90909,0.87769,0.5168,1.0227,1.97431,0.17622,0.4893,1.26276,0.0015644,0.0015644,0.0015644
35,924.77,1.02221,2.30502,0.29717,0.56519,1.13326,0.95293,0.95455,0.95257,0.71017,0.90756,0.90909,0.88542,0.53012,1.06412,2.08333,0.16033,0.49452,1.31196,0.0015512,0.0015512,0.0015512
36,951.373,1.02042,2.24658,0.30782,0.55626,1.15395,0.93184,0.95455,0.94644,0.67868,0.88747,0.90909,0.88171,0.48351,1.05333,1.92183,0.16736,0.52758,1.29674,0.001538,0.001538,0.001538
37,977.941,1.01865,2.35293,0.31957,0.58154,1.14156,0.95245,0.95455,0.94038,0.68644,0.92977,0.93182,0.90155,0.5706,1.07586,1.88332,0.15602,0.50131,1.29072,0.0015248,0.0015248,0.0015248
